19:39:19 INFO  manager.ApplicationManager - Tests stars with Chrome
19:39:28 INFO  manager.MyListener - Start search element by locator-->By.id: city
19:39:28 INFO  manager.MyListener - The element with locator-->By.id: city was found
19:39:28 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (dc019dc8131b1e6409a8c0c68ca6c16a)] -> id: city]
19:39:28 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div.pac-item
19:39:28 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-item was found
19:39:28 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (dc019dc8131b1e6409a8c0c68ca6c16a)] -> css selector: div.pac-item]
19:39:28 INFO  manager.MyListener - Start search element by locator-->By.id: dates
19:39:28 INFO  manager.MyListener - The element with locator-->By.id: dates was found
19:39:29 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (dc019dc8131b1e6409a8c0c68ca6c16a)] -> id: dates]
19:39:29 INFO  manager.MyListener - Start search element by locator-->By.xpath: //div[.=' 25 ']
19:39:29 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 25 '] was found
19:39:29 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (dc019dc8131b1e6409a8c0c68ca6c16a)] -> xpath: //div[.=' 25 ']]
19:39:29 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[@aria-label='Next month']
19:39:29 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@aria-label='Next month'] was found
19:39:29 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (dc019dc8131b1e6409a8c0c68ca6c16a)] -> xpath: //button[@aria-label='Next month']]
19:39:29 INFO  manager.MyListener - Start search element by locator-->By.xpath: //div[.=' 26 ']
19:39:29 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 26 '] was found
19:39:29 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (dc019dc8131b1e6409a8c0c68ca6c16a)] -> xpath: //div[.=' 26 ']]
19:39:29 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[@type='submit']
19:39:29 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit'] was found
