19:19:15 INFO  manager.ApplicationManager - Tests stars with Chrome
19:19:21 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[text()=' Log in ']
19:19:21 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Log in '] was found
19:19:21 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[text()=' Sign up ']
19:19:21 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Sign up '] was found
19:19:21 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (f704cc83e9962e486e3cde885c60bccc)] -> xpath: //a[text()=' Sign up ']]
19:19:21 INFO  manager.MyListener - Start search element by locator-->By.id: name
19:19:21 INFO  manager.MyListener - The element with locator-->By.id: name was found
19:19:21 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (f704cc83e9962e486e3cde885c60bccc)] -> id: name]
19:19:22 INFO  manager.MyListener - Start search element by locator-->By.id: lastName
19:19:22 INFO  manager.MyListener - The element with locator-->By.id: lastName was found
19:19:22 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (f704cc83e9962e486e3cde885c60bccc)] -> id: lastName]
19:19:22 INFO  manager.MyListener - Start search element by locator-->By.id: email
19:19:22 INFO  manager.MyListener - The element with locator-->By.id: email was found
19:19:22 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (f704cc83e9962e486e3cde885c60bccc)] -> id: email]
19:19:22 INFO  manager.MyListener - Start search element by locator-->By.id: password
19:19:22 INFO  manager.MyListener - The element with locator-->By.id: password was found
19:19:22 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (f704cc83e9962e486e3cde885c60bccc)] -> id: password]
19:19:22 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .checkbox-container
19:19:22 INFO  manager.MyListener - The element with locator-->By.cssSelector: .checkbox-container was found
19:19:23 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[@type='submit']
19:19:23 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit'] was found
19:19:23 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .dialog-container
19:19:23 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container was found
19:19:24 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .dialog-container h1
19:19:24 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h1 was found
19:19:24 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
19:19:24 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok'] was found
19:19:24 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
19:19:24 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok'] was found
