19:31:44 INFO  manager.ApplicationManager - Tests stars with Chrome
19:31:48 INFO  manager.MyListener - Start search element by locator-->By.id: city
19:31:48 INFO  manager.MyListener - The element with locator-->By.id: city was found
19:31:48 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (36b3e2df53deca966e365942e81648df)] -> id: city]
19:31:48 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: div.pac-item
19:31:49 INFO  manager.MyListener - The element with locator-->By.cssSelector: div.pac-item was found
19:31:49 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (36b3e2df53deca966e365942e81648df)] -> css selector: div.pac-item]
19:31:49 INFO  manager.MyListener - Start search element by locator-->By.id: dates
19:31:49 INFO  manager.MyListener - The element with locator-->By.id: dates was found
19:31:49 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (36b3e2df53deca966e365942e81648df)] -> id: dates]
19:31:49 INFO  manager.MyListener - Start search element by locator-->By.xpath: //div[.=' 25 ']
19:31:49 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 25 '] was found
19:31:49 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (36b3e2df53deca966e365942e81648df)] -> xpath: //div[.=' 25 ']]
19:31:49 INFO  manager.MyListener - Start search element by locator-->By.xpath: //div[.=' 26 ']
19:31:49 INFO  manager.MyListener - The element with locator-->By.xpath: //div[.=' 26 '] was found
19:31:50 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (36b3e2df53deca966e365942e81648df)] -> xpath: //div[.=' 26 ']]
19:31:50 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[@type='submit']
19:31:50 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit'] was found
