18:55:41 INFO  manager.ApplicationManager - Tests stars with Chrome
18:55:45 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[contains(text(),'Logout')]
18:56:00 INFO  manager.MyListener - The element with locator-->By.xpath: //a[contains(text(),'Logout')] was found
18:56:00 INFO  tests.TestBase - Test Registration Positive starts with email--->rona666@mail.ru
18:56:00 INFO  tests.TestBase - Test Registration Positive starts with password--->KoronA10!
18:56:00 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[text()=' Log in ']
18:56:00 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Log in '] was found
18:56:00 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (0618fd72c08cc6f5575a206e050bb916)] -> xpath: //a[text()=' Log in ']]
18:56:00 INFO  manager.MyListener - Start search element by locator-->By.xpath: //input[@id='email']
18:56:00 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='email'] was found
18:56:00 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (0618fd72c08cc6f5575a206e050bb916)] -> xpath: //input[@id='email']]
18:56:00 INFO  manager.MyListener - Start search element by locator-->By.xpath: //input[@id='password']
18:56:00 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='password'] was found
18:56:00 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (0618fd72c08cc6f5575a206e050bb916)] -> xpath: //input[@id='password']]
18:56:00 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[@type='submit']
18:56:00 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit'] was found
18:56:05 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .dialog-container
18:56:05 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container was found
18:56:05 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .dialog-container h2
18:56:05 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2 was found
18:56:05 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
18:56:05 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok'] was found
18:56:05 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
18:56:05 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok'] was found
18:56:05 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (0618fd72c08cc6f5575a206e050bb916)] -> xpath: //button[text()='Ok']]
18:56:05 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[contains(text(),'Logout')]
18:56:06 INFO  manager.MyListener - The element with locator-->By.xpath: //a[contains(text(),'Logout')] was found
18:56:06 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[text()=' Logout ']
18:56:06 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Logout '] was found
18:56:06 INFO  manager.MyListener - Click on WebElement by locator-->[[ChromeDriver: chrome on WINDOWS (0618fd72c08cc6f5575a206e050bb916)] -> xpath: //a[text()=' Logout ']]
18:56:06 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[text()=' Log in ']
18:56:06 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Log in '] was found
